LOC Updated as of: 06/04/25 03:28:42
Cloc Analysis Results
=====================

Analyzing DigipenEngine/7percent:

github.com/AlDanial/cloc v 1.90  T=4.05 s (86.0 files/s, 22697.2 lines/s)
-------------------------------------------------------------------------------------------------------------
File                                                                      blank        comment           code
DigipenEngine/7percent/ryan-c/vma_impl.h                                      4             17              6
DigipenEngine/7percent/EntityEvents.cpp                                       5             18              5
DigipenEngine/7percent/ryan-c/vma_impl.cpp                                    3             17              5
DigipenEngine/7percent/ryan-c/Buffer.cpp                                      4             17              4
DigipenEngine/7percent/Sprite.cpp                                             3             17              1
DigipenEngine/7percent/pch.cpp                                                4             17              1
-------------------------------------------------------------------------------------------------------------
SUM:                                                                      12476          26814          52575
-------------------------------------------------------------------------------------------------------------

Analyzing DigipenEngine/Assets/Scripts:

github.com/AlDanial/cloc v 1.90  T=0.16 s (56.8 files/s, 4612.6 lines/s)
------------------------------------------------------------------------------------------------------
File                                                               blank        comment           code
------------------------------------------------------------------------------------------------------
DigipenEngine/Assets/Scripts/CharacterScript.cs                       25             45            176
DigipenEngine/Assets/Scripts/Reticle.cs                               11             19             44
DigipenEngine/Assets/Scripts/PlayerScript.cs                          19             35             43
DigipenEngine/Assets/Scripts/ObjRefTest.cs                             5              5             30
DigipenEngine/Assets/Scripts/Pivot.cs                                 10             29             30
DigipenEngine/Assets/Scripts/CharacterAnimScript.cs                    8             24             26
DigipenEngine/Assets/Scripts/Flipper.cs                               10             25             26
DigipenEngine/Assets/Scripts/CameraLock.cs                             9             20             25
DigipenEngine/Assets/Scripts/EnemySpawner.cs                           3              4             25
------------------------------------------------------------------------------------------------------
SUM:                                                                 100            206            425
------------------------------------------------------------------------------------------------------

Analyzing DigipenEngine/EngineScripting:

github.com/AlDanial/cloc v 1.90  T=0.73 s (27.4 files/s, 3711.5 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------------
DigipenEngine/EngineScripting/Component.cs                                                                             67            342            358
DigipenEngine/EngineScripting/InternalCall.cs                                                                          57             24            168
DigipenEngine/EngineScripting/GameObject.cs                                                                            26            114            140
DigipenEngine/EngineScripting/Mathf.cs                                                                                 31            250            136
DigipenEngine/EngineScripting/Input.cs                                                                                 13             48             91
DigipenEngine/EngineScripting/CSharpTesting.cs                                                                         20            105             79
DigipenEngine/EngineScripting/AudioManager.cs                                                                           9             64             50
DigipenEngine/EngineScripting/Test.cs                                                                                  10             10             48
DigipenEngine/EngineScripting/MonoInterop.cs                                                                           12              6             45
DigipenEngine/EngineScripting/Collision.cs                                                                              3              0             27
DigipenEngine/EngineScripting/Animator.cs                                                                               9             41             24
DigipenEngine/EngineScripting/GameManager.cs                                                                            6             30             21
DigipenEngine/EngineScripting/Camera.cs                                                                                 6             31             20
DigipenEngine/EngineScripting/Debug.cs                                                                                  4             18             16
DigipenEngine/EngineScripting/CheatEngine.cs                                                                            4             23             15
DigipenEngine/EngineScripting/Properties/AssemblyInfo.cs                                                                4             14             15
DigipenEngine/EngineScripting/MoveTest.cs                                                                               1              0             11
DigipenEngine/EngineScripting/Rendering.cs                                                                              1              0             11
DigipenEngine/EngineScripting/Time.cs                                                                                   4             18              7
DigipenEngine/EngineScripting/obj/Release_NoImGui/.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                    0              1              3
-------------------------------------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                                                  287           1139           1285
-------------------------------------------------------------------------------------------------------------------------------------------------------

